"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","268.06979772136026","110.93480000939968","5.091729925466764","-0.3064178713208025","0.01200000000000001","0.0114","0.012599999999999945","4000","0.00032491139858552883","0","0.00032491139858552883","0.00032491139858552883","0_14:0.012748126996395076;0_1:0.009295658230457693","0_14:660;0_1:660","true"
"1","288.33824747837474","244.57178870425335","4.97058093538596","-0.3076118473056415","0.0262","0.025399999999999978","0.027","4000","0.0003568376095444584","0","0.0003568376095444584","0.0003568376095444584","1_2:0.0072848047812686945","1_2:660","true"
"2","244.4581184517944","313.9978601598605","4.890391937272239","-0.30886672518848857","0.026100000000000012","0.025000000000000022","0.0272","4000","0.0001817795373031452","0","0.0001817795373031452","0.0001817795373031452","","","true"
"3","146.4465556661072","152.77965039812173","5.053066766619048","-0.30666248436950483","0.02499999999999991","0.0134","0.036599999999999966","4000","0.0004427599731950507","0","0.0004427599731950507","0.0004427599731950507","3_2:0.011732912494141517;3_4:0.012964548373577467","3_2:660;3_4:660","true"
"4","243.71704538330584","145.30077473241514","4.978161741493934","-0.30777135138061384","0.010199999999999987","0.011","0.009399999999999964","4000","0.00022168907282460527","0","0.00022168907282460527","0.00022168907282460527","4_15:0.005978607985461348","4_15:660","true"
"5","200.9362681609771","146.94822631179625","5.04078430242993","-0.30674265547273416","0.04149999999999998","0.04079999999999995","0.0422","4000","0.00019656583474362952","0","0.00019656583474362952","0.00019656583474362952","5_4:0.005883532651318607","5_4:660","true"
"6","203.30542887808133","89.80008306991759","5.1701107395877735","-0.3037940775265072","0.03539999999999999","0.0364","0.034399999999999986","4000","0.00023308293877352","0","0.00023308293877352","0.00023308293877352","6_7:0.0055103342754215245;6_5:0.005835324095874783","6_7:660;6_5:660","true"
"7","237.7909325746961","263.3079700347582","5.08074761756015","-0.3059345033629119","0.007000000000000006","0.0086","0.00539999999999996","4000","0.000162830165774185","0","0.000162830165774185","0.000162830165774185","7_8:0.005245769652592408","7_8:660","true"
"8","299.03021490808624","99.56088108163854","5.0031827167299","-0.307600825764635","0.0040000000000000036","0.005199999999999982","0.0028","4000","0.00017705195614128196","0","0.00017705195614128196","0.00017705195614128196","8_16:0.007466597487086973","8_16:660","true"
"9","265.31356690251374","35.65361311158509","5.1020197276779715","-0.3062090662670669","0.024799999999999933","0.019399999999999973","0.0302","4000","0.0005668355887622679","0","0.0005668355887622679","0.0005668355887622679","9_8:0.011896490447689895;9_10:0.015675385859233754","9_8:660;9_10:660","true"
"10","194.49475737574457","194.53208383088474","4.926257837552907","-0.3085316291198984","0.011900000000000022","0.0118","0.01200000000000001","4000","0.00027129222306259554","0","0.00027129222306259554","0.00027129222306259554","10_11:0.007572084407345692","10_11:660","true"
"11","216.47941913660893","93.89650343118456","4.83941065413067","-0.308885870288562","0.047599999999999976","0.0508","0.044399999999999995","4000","0.0002389174336313494","0","0.0002389174336313494","0.0002389174336313494","","","true"
"12","99.56354455762838","70.21263146235566","5.109804982974974","-0.30616503746547113","0.1582","0.026","0.2904","4000","0.0006926797787059897","0","0.0006926797787059897","0.0006926797787059897","12_11:0.027302087226061977","12_11:660","true"
"13","148.27321551498233","63.85631281581085","4.982496870226465","-0.3068148853741847","0.009099999999999997","0.01","0.008199999999999985","4000","0.00031096895388190923","0","0.00031096895388190923","0.00031096895388190923","13_12:0.01461119554244944","13_12:660","true"
"14","112.57441552975594","42.74652818071722","4.865080514762649","-0.3091688931353723","0.00550000000000006","0.0050000000000000044","0.006","4000","0.00042016634171404993","0","0.00042016634171404993","0.00042016634171404993","","","true"
"15","247.37452899797825","161.955140930346","5.15347635531861","-0.30544098816476106","0.007199999999999984","0.008000000000000007","0.0064","4000","0.00024166163518040142","0","0.00024166163518040142","0.00024166163518040142","15_22:0.00837930326516284","15_22:660","true"
"16","159.05275499448416","85.83438572350708","4.9521794168226245","-0.3070553236798937","0.05400000000000005","0.04920000000000002","0.0588","4000","0.0002975042894823263","0","0.0002975042894823263","0.0002975042894823263","","","true"
"17","141.53540859860556","89.7606415422812","5.222740648639519","-0.3029522541528282","0.012299999999999978","0.013800000000000034","0.0108","4000","0.0002866219455819217","0","0.0002866219455819217","0.0002866219455819217","17_12:0.012016313819526059;17_30:0.012783833111277537","17_12:660;17_30:660","true"
"18","340.17963487201297","285.9741665373172","4.9467946234744895","-0.30882606481713304","0.022399999999999975","0.021199999999999997","0.0236","4000","0.00020090905229293735","0","0.00020090905229293735","0.00020090905229293735","18_14:0.010590648763013966;18_19:0.0054719777293320004","18_14:660;18_19:660","true"
"19","215.0470785737661","73.83040484841474","5.05726508622525","-0.30729640355616145","0.030200000000000005","0.033399999999999985","0.027","4000","0.0008017199784890318","0","0.0008017199784890318","0.0008017199784890318","","","true"
"20","219.8679948343941","54.01902527581849","5.028932657448906","-0.3061722380473728","0.0716","0.07879999999999998","0.0644","4000","0.0004210290328616266","0","0.0004210290328616266","0.0004210290328616266","20_33:0.007762905633149408;20_21:0.00852951259392229;20_19:0.012945650136362064","20_33:660;20_21:660;20_19:660","true"
"21","226.25826479423702","301.9013429273378","5.169389359544633","-0.3041302197907452","0.0484","0.0432","0.05359999999999998","4000","0.00022311542471111208","0","0.00022311542471111208","0.00022311542471111208","21_22:0.006642291453270915","21_22:660","true"
"22","202.59313293846952","223.05355452938483","5.060681346415204","-0.30627013580014817","0.013499999999999956","0.014599999999999946","0.0124","4000","0.00037721873648844815","0","0.00037721873648844815","0.00037721873648844815","","","true"
